STT,Tài khoản (MSSV),Mật khẩu,Họ và tên
1,1,1,Player1
2,2,1,Player2
3,3,1,Player3
4,4,1,Player4
5,5,1,Player5
6,6,1,Player6
7,7,1,Player7
8,8,1,Player8
9,9,1,Player9
10,10,1,Player10
11,11,1,Player11
12,12,1,Player12
13,13,1,Player13
14,14,1,Player14
15,15,1,Player15
16,16,1,Player16
17,17,1,Player17
18,18,1,Player18
19,19,1,Player19
20,20,1,Player20
21,21,1,Player21
22,22,1,Player22
23,23,1,Player23
24,24,1,Player24
25,25,1,Player25
26,26,1,Player26
27,27,1,Player27
28,28,1,Player28
29,29,1,Player29
30,30,1,Player30
31,31,1,Player31
32,32,1,Player32
33,33,1,Player33
34,34,1,Player34
35,35,1,Player35
36,36,1,Player36
37,37,1,Player37
38,38,1,Player38
39,39,1,Player39
40,40,1,Player40
41,41,1,Player41
42,42,1,Player42
43,43,1,Player43
44,44,1,Player44
45,45,1,Player45
46,46,1,Player46
47,47,1,Player47
48,48,1,Player48
49,49,1,Player49
50,50,1,Player50
